Delta,Allison Hall,Braiden Hall,Summit Hall
0,0.001,0,0
1,0.001,0,0
2,0.001,0,0
3,0.001,1.162421257,0.001
4,0.001,1.162421257,0.001
5,0.001,1.162421257,0.001
6,0.001,0,0.001
7,0.001,0,0.001
8,0.001,0.001,0.001
9,0.001,0.001,0.001
10,0.001,0.001,0.001
11,0.001,0.001,0.001
12,0.001,0.001,0.001
13,0.001,4.531381355,0.001
14,0.001,4.531381355,0.001
15,0.001,4.531381355,0.001
16,0.001,4.531381355,0.001
17,1.494187157,1.565291649,0.001
18,1.494187157,1.565291649,0.001
19,1.494187157,1.565291649,0.001
20,0.001,2.382871249,0.001
21,0.001,2.382871249,0.001
22,0.001,2.382871249,0.001
23,0.001,2.382871249,0.001
24,0.001,5.481317662,0.001
25,0.001,5.481317662,0.001
26,0.001,5.481317662,0.001
27,0.001,2.149911115,39.11981388
28,0.001,2.149911115,39.11981388
29,0.001,2.149911115,39.11981388
30,0.001,2.149911115,39.11981388
31,0.001,71.19741163,26.42169261
32,0.001,71.19741163,26.42169261
33,0.001,71.19741163,26.42169261
34,0.001,17.11387262,0.001
35,0.001,17.11387262,0.001
36,0.001,17.11387262,0.001
37,0.001,17.11387262,0.001
38,8.387111551,28.76261161,4.676374683
39,8.387111551,28.76261161,4.676374683
40,8.387111551,28.76261161,4.676374683
41,31.24361482,1119.968232,957.2116253
42,31.24361482,1119.968232,957.2116253
43,3.567311928,44.13167625,2.54117697
44,3.567311928,44.13167625,2.54117697
45,17.13766214,21.71691527,51.91254167
46,17.13766214,21.71691527,51.91254167
47,17.13766214,21.71691527,51.91254167
48,26.99888462,734.4432868,31.91916932
49,26.99888462,734.4432868,31.91916932
50,87.71638519,81.73789745,5.841911866
51,87.71638519,81.73789745,5.841911866
52,112.6365885,113.9253368,548.6649782
53,112.6365885,113.9253368,548.6649782
54,112.6365885,113.9253368,548.6649782
55,75.76313283,19.45924759,24.15531852
56,75.76313283,19.45924759,24.15531852
57,498.4217555,4527.595796,2157.131119
58,498.4217555,4527.595796,2157.131119
59,1614.174724,5.443431798,51.45811249
60,1614.174724,5.443431798,51.45811249
61,1614.174724,5.443431798,51.45811249
62,22.52555911,5.716691948,18.56538277
63,22.52555911,5.716691948,18.56538277
64,118.3378936,212.6319236,64.68138124
65,118.3378936,212.6319236,64.68138124
66,184.1371196,64.49941634,4.133187754
67,184.1371196,64.49941634,4.133187754
68,184.1371196,64.49941634,4.133187754
69,59.18835218,165.4158519,88.95388789
70,59.18835218,165.4158519,88.95388789
71,241.8918136,64.39521884,5.5699917
72,241.8918136,64.39521884,5.5699917
73,29.62926675,357.4672182,174.3545896
74,29.62926675,357.4672182,174.3545896
75,29.62926675,357.4672182,174.3545896
76,22.23764214,11115.77417,31.99555625
77,22.23764214,11115.77417,31.99555625
78,62.35923312,396.4719221,115.5624444
79,62.35923312,396.4719221,115.5624444
80,65.33692191,661.4141452,11.42171823
81,65.33692191,661.4141452,11.42171823
82,65.33692191,661.4141452,11.42171823
83,41.42637259,688.8945789,1.391139187
84,41.42637259,688.8945789,1.391139187
85,658.2459814,21.33659612,9.528195318
86,658.2459814,21.33659612,9.528195318
87,151.7316399,19.28255619,1.274667752
88,151.7316399,19.28255619,1.274667752
89,151.7316399,19.28255619,1.274667752
90,463.1124191,0,8.651113682
91,463.1124191,0,8.651113682
92,831.9935111,0,25.89131648
93,831.9935111,0,25.89131648
94,828.4367621,0,1.181135888